Gheorgheni - Toplita; Cost:34
Arad - Radna; Cost:35
Carei - Satu Mare; Cost:36
Turceni - Rovinari; Cost:36
Focsani - Tecuci; Cost:37
Crasna - Barlad; Cost:37
Ramnicu Sarat - Focsani; Cost:38
Roman - Pascani Triaj h; Cost:38
Caransebes - Lugoj; Cost:39
Buzau - Faurei; Cost:40
Ilia - Savirsin; Cost:40
Ianca - Braila; Cost:43
Slatina - Stolnici; Cost:43
Toplita - Deda; Cost:44
Bacau - Roman; Cost:44
Iasi - Targu Frumos; Cost:45
Suceava - Gura Humorului Oras; Cost:47
Barlad - Tecuci Nord hc; Cost:48
Brasov - Augustin; Cost:49
Baile Herculane - Slatina Timis; Cost:50
